4．データカタログ項目定義仕様,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"①
項目No","②
クラス名称","③
プロパティ名称","④
見出し","⑤
定義","⑥
値域","⑦
使い方","⑧
出現回数","⑨
サンプル値",,"⑩実装における
変数名
（CKAN）","⑪値域

（CKAN）","⑫列挙型
区分
(CKAN)","⑬出現回数

(CKAN)","⑭複数値
記載許可
(CKAN)","⑮入力必須
項目
（CKAN）",,,,,,,,,,
13070,sipx:TradingPolicy,sipx:containsPersonalData,パーソナルデータの類別,提供するデータセットのパーソナルデータの類別を示す。,rdfs:Literal,"パーソナルデータの種別について自由形式のテキストで記載してください。
※ 業界団体で定めるプロファイルでコードリストを公開することを推奨する。その際、コードリストの値としては、以下のような値が含まれることが望ましい。ただし、その他の値を設定してもよい。
【コードリストの値の例示】個人情報（要配慮個人情報を含む）/個人情報（要配慮個人情報を含まない）/匿名加工情報/非識別加工情報/非個人情報",0..1,非個人情報,,extras:privacy_policy_contains_personal_data,text,列挙型,0..1,No,任意,,,,,,,,,,
13080,sipx:TradingPolicy,sipx:effectivePeriodOfData,データの有効期間,年月の経過や制度改定によって、データが無効になることはあるかどうかを示す。　明確な有効期限がある場合は、開始日と終了日を示す。,rdfs:Literal,"データが有効な期間を示す開始日時と完了日時を記載する。
たとえば、期限が切れるデータ、消費税や運賃と関連するデータ等。
省略時は無制限とする。
　形式　開始年月日 - 終了年月日
　　例1　開始日のみ　　　：　2016/04/01-
　　例2　開始終了の期間　：　2016/04/01-2016/07/01",0..1,2019/11/01-2020/10/31,,extras:usage_period_effective_period_of_data,text,列挙型,0..1,No,任意,,,,,,,,,,
13090,sipx:TradingPolicy,sipx:expirationPeriod,利用ライセンスの期限,データの購入者が、データを利用できる期間を示す。,rdfs:Literal,"データを利用できる期間を記載する。
　例：６カ月、1年間",0..1,"{
　""expirationPeriodType"": ""endDate"",
  ""endDate"":""2021-12-31"",
}",,extras:usage_period_expiration_period,text,列挙型,0..1,No,任意,,,,,,,,,,
13100,sipx:TradingPolicy,sipx:fee,有償無償,データが有償か無償かを示す,rdfs:Literal,データが有償か無償かを記載する。,0..1,free,,extras:fee,text,列挙型,0..1,No,任意,,,,,,,,,,
13110,sipx:TradingPolicy,sipx:salesInfoURL ,販売情報URL,販売情報のWebページのURLを示す,URL,販売情報のWebページのURLを記載する。,0..1,https://www.shinnihon.example.jp/shinnihoncity.html,,extras:sales_info_url  ,url,－,0..1,No,任意,,,,,,,,,,
13120,sipx:TradingPolicy,sipx:priceRange,価格帯,このデータセットを販売できる価格帯を示す。,schema:PriceSpecification,データセットを販売できる価格帯をschema:PriceSpecificationクラスの表現方法を用いて記載する。,0..1,0円,,extras:pricing_price_range,text,－,0..1,No,任意,,,,,,,,,,
13130,sipx:TradingPolicy,sipx:noticesOfPrice,データ販売に関わる特記事項,このデータセットの販売に関わる特記事項を示す。,rdfs:Literal,このデータセットの販売に関わる特記事項を記載する。（例えば、初回30日間無料、長期契約にて優待価格で提供、など）,0..1,特に無し,,extras:pricing_notices_of_price,text,－,0..1,No,任意,,,,,,,,,,
13140,sipx:TradingPolicy,sipx:expressWarranty,明示された保証,データ利用者に対して、保証できることを示す。,rdfs:Literal,"データ利用者に対して、保証できることがあれば自由に記載する。
（データ主体となる個人の本人同意が得られている、測定機器が公的検定をうけている、第三者のデータベース著作物を提供するに際しライセンスをクリアしている、など）",0..1,特に無し,,extras:warranty_express_warranty,text,列挙値,0..1,No,任意,,,,,,,,,,
13150,sipx:TradingPolicy,sipx:leagalCompliance,準拠法の対象国,データ購入者に、どの国・地域の法律に準拠することを求めるかを示す。,rdfs:Literal,"準拠法の対象国・地域を記載する。
（基本は「日本」を対象国としてそれ以外は個々に手入力する。）",0..1,日本,,extras:warranty_legal_compliance,text,列挙値,0..1,No,任意,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
20000,dcat:Distribution,,配信,,,DCAT名前空間タグは　「http://www.w3.org/TR/2014/REC-vocab-dcat-20140116/#Class-Distribution」の定義に従う,,,,,,,,,,,,,,,,,,,
21010,dcat:Distribution,dct:title,配信の名称,この配信の名称である。,rdfs:Literal,この配信をひと言で言い表すタイトルを記載する。,0..n,公共施設一覧,,resources:name,text,－,0..1,No,任意,,,,,,,,,,
21020,dcat:Distribution,dct:description,配信の説明,この配信の内容の説明である。,rdfs:Literal,この配信を第三者に理解してもらうための説明を記載する,0..n,新日本市内の公共施設一覧のCSVファイル,,resources:description,text,－,0..1,No,任意,,,,,,,,,,
